

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- VIM STARTING ---
000.000  000.000: Allocated generic buffers
004.000  004.000: locale set
004.000  000.000: clipboard setup
004.000  000.000: window checked
005.000  001.000: inits 1
014.000  009.000: parsing arguments
015.000  001.000: expanding arguments
026.000  011.000: shell init
026.000  000.000: Termcap init
026.000  000.000: inits 2
027.000  001.000: init highlight
029.000  000.000  000.000: sourcing C:\Users\sshen/.vimrc.before.fork
030.000  001.000  001.000: sourcing C:\Users\sshen/.vimrc.before
033.000  000.000  000.000: sourcing C:\Program Files (x86)\vim\vim80\ftoff.vim
035.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vundle\autoload\vundle.vim
037.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vundle\autoload\vundle\config.vim
186.000  013.000  013.000: sourcing C:\Users\sshen/.vimrc.bundles.fork
187.000  157.000  144.000: sourcing C:\Users\sshen/.vimrc.bundles
237.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\neosnippet\ftdetect\neosnippet.vim
239.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-json\ftdetect\json.vim
241.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-less\ftdetect\less.vim
242.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-javascript\ftdetect\javascript.vim
243.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-jst\ftdetect\jst.vim
245.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-coffee-script\ftdetect\coffee.vim
246.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-coffee-script\ftdetect\vim-literate-coffeescript.vim
248.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-haml\ftdetect\haml.vim
249.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\rust.vim\ftdetect\rust.vim
251.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-markdown\ftdetect\markdown.vim
252.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-cucumber\ftdetect\cucumber.vim
255.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-toml\ftdetect\toml.vim
257.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\salt-vim\ftdetect\sls.vim
258.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\tern_for_vim\ftdetect\tern.vim
262.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\neosnippet\ftdetect\neosnippet.vim
263.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-json\ftdetect\json.vim
264.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-less\ftdetect\less.vim
266.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-javascript\ftdetect\javascript.vim
267.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-jst\ftdetect\jst.vim
269.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-coffee-script\ftdetect\coffee.vim
271.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-coffee-script\ftdetect\vim-literate-coffeescript.vim
273.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-haml\ftdetect\haml.vim
274.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\rust.vim\ftdetect\rust.vim
276.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-markdown\ftdetect\markdown.vim
277.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-cucumber\ftdetect\cucumber.vim
278.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-toml\ftdetect\toml.vim
280.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\salt-vim\ftdetect\sls.vim
290.000  084.000  081.000: sourcing C:\Program Files (x86)\vim\vim80\filetype.vim
317.000  000.000  000.000: sourcing C:\Program Files (x86)\vim\vim80\ftplugin.vim
346.000  000.000  000.000: sourcing C:\Program Files (x86)\vim\vim80\indent.vim
386.000  003.000  003.000: sourcing C:\Program Files (x86)\vim\vim80\syntax\syncolor.vim
398.000  027.000  024.000: sourcing C:\Program Files (x86)\vim\vim80\syntax\synload.vim
398.000  040.000  013.000: sourcing C:\Program Files (x86)\vim\vim80\syntax\syntax.vim
